Бренд,Очищенный текст отзыва,ПолезностьRFC,ПолезностьXGB,Полезность
Бренд 10,пряжа понравиться вто размер джемпер особо изменяться размер   уходить ровно  моток вязать спица ,2,2,2
Бренд 10,добрый день пряжа отличный чувствительный кожа колоться вязать шапка ребенок  год двусторонний жаккард очень понравиться сказать мягкий колоться ниточка тонкий теплый покупка рекомендовать,2,2,2
Бренд 61,коробочка целый ребенок слайма самый,1,1,1
Бренд 24,цвет пряжа скоро розовый лиловый фото выглядет поэтому отказ,2,2,1
Бренд 10,пряжа отличный очень приятный ощупь,1,1,2
Бренд 24,вязать сложно разрывать петелька цвет нежно розовый пудровый,1,1,1
Бренд 10,приятный новичок легко вязать узелок второй моток цена думать должно,2,2,2
Бренд 56,"замечательный скребок качество отличный приходить черный бархатный мешочек  классный товар хотеться достойный упаковка  коробочка  это немного расстраивать т покупать подарок  (((
",2,2,2
Бренд 14,купить проба  моток понравиться ниточка рекомендовать,1,1,0
Бренд 10,это прямой любовь вязать,2,1,2
Бренд 14,пряжа понравиться состав хороший моточек место,1,1,2
Бренд 4,очень красивый набор покупка очень довольный первый покупать набор luka довольный готовый результат,2,1,1
Бренд 2,очень хороший набор мелкий кропотливый работа оно стоить бисер хватить оставаться иголка процесс работа сломать спасибо скидка,2,2,1
Бренд 11,приходить картина сделать возврат обмен,2,2,0
Бренд 9,присылать цвет почему брать некомпетентный сортировщик,1,2,1
Бренд 6,качество канва бисер прекрасный !!! спасибо,1,1,1
Бренд 33,"очень понравиться рамка давно присматриваться купить качество хороший собираться легко накручивать крепить полотно посмотреть ролик интернет заниматься алмазный мозаика рекомендовать )))  жалеть рано купить )))
",2,2,1
Бренд 61,отличный банк объемный,2,2,1
Бренд 17,сожаление приходить равный упаковка возврат,1,1,1
Бренд 24,заказывать  упаковка пряжа брать рано сайт по-видимому продавец ранее брак встречаться лишь однажды пара год брак каждый моток хотя  встречаться никто советовать продавец покупать брак вид отсутствие петля порывать петля отсутствие цвет тп кажется это подделка,2,2,2
Бренд 10,спица гладкий соответствовать размер,1,1,1
Бренд 2,нитка яркий хороший качество вышивать удовольствие,1,1,1
Бренд 61,хорошенький баночка,1,1,1
Бренд 18,супер цвет заказывать соответствовать упаковка целый пряжа тоненький мягкий понравиться ниточка,1,2,2
Бренд 52,соль заменять сумы говорить салат самый готовить рыба духовка приправлять сумы получаться вкусно,2,2,0
Бренд 20,пряжа очень приятный связывать детский плед получаться очень теплый плотный это невероятно легкий снимать звезда поскольку упаковка попадаться схмоток шесть обрыв нить,2,2,2
Бренд 90,отличный коврик работа очень выручать ножка тепло очень комфортно горячо пол плитка тепло достаточно наслаждаться,2,2,1
Бренд 25,приходить чучуть вытекать кречичный пахнуть масляный папользоваться дополнять,1,2,0
Бренд 18,товар хороший использовать  моток качество нить хороший,1,1,1
Бренд 4,описание рекомендовать,1,1,1
Бренд 18,заказывать упаковка нитка мягкий колючий,2,1,2
Бренд 10,цвет немного отличаться фиолетовый оттенок плюс белый шерстинка придавать бледный вид пряжа мягкий нежный ровный узел,1,1,2
Бренд 10,очень толстый плотный дрстаточно колючий меринос добротный свитер вряд получаться комфортный шапочка голова чесаться моточек маленький купить  р цена подскакивать остальной моток докупать интернет магазин цена заоблачный цвет соответствовать,2,2,2
Бренд 22,заказывать иволга приходить снегирь меньший размер возврат очень обидно ждать станок  неделя,2,2,0
Бренд 6,отличный набор,1,1,1
Бренд 10,"потрясать пряжа приезжать полный комплект аккуратно упаковывать зип лок дополнительно заклеивать бумажный стикер моточек свой вес объемный мягенький цвет темно теплый натурально фото понравиться узел пока встречаться пушистость неравномерный изделие незаметно вязаться легко распускать получаться пух лезть вязать нить крючок резинка мм полотно мм просвечивать очень теплый пряжа выделять тепло снаружи видно рельеф шелк поблескивать изнутри образовываться что-то вроде подкладка пух мягкий пузико котенок :)  кошка сожаление понравиться утыкаться нос впиваться коготь отнимать приходиться закрываться повязывать :)  это говорить пряжа действительно очень натуральный ничто обрабатывать деньги свой однозначно стоять покупать остальной цвет :)
",2,2,2
Бренд 11,хороший набор нитка достаточно качество luca вышивать  неделя работа получаться яркий картинка,2,2,2
Бренд 90,приходить сушилка целость сохранность запах клеенка немного присутствовать,1,1,1
Бренд 10,вязать ребенок нитка розовый джемпер очень нравиться носить школа постоянно снимать постирать )) теплый легкий очень мягкий размер  уходить  моток  укладываться купить голубой пряжа цвет фото темно грязноватый понравиться,2,2,2
Бренд 56,очень рад сразу купить мед становиться камень какой-нибудь ))))  скребок рекомендовать,2,2,1
Бренд 24,пряжа приходить  моток становиться забирать качество ужасный пряжа петельказ качество ранее делать изделие распускать,2,2,1
Бренд 21,очень узел вязать плед детский прямой очень разочаровываться,1,1,2
Бренд 24,хороший заказывать  моток получаться плед   небольшой подушка,1,1,2
Бренд 10,светло фото небольшой моточек понравиться пряжа,1,1,2
Бренд 2,упаковка целый,1,1,1
Бренд 24,первый впечатление двоякий красивый цвет запах пряжа толщина нить явно мало заявлять ализе взять впервые сравнивать пехорка вязать шапка отворот снуд  нить варежка комплект ребенок года полтора моток пряжа оставаться вязать очень легко приятно ощущение щерсть мало указывать похоже шерсти  акрил шапка  нить отворот думать зима нормально,2,2,1
Бренд 18,вместо  присылать  моток сколько ???,1,1,1
Бренд 90,хороший скатерть белый стол очень красиво полностью соответствовать описание,2,2,1
Бренд 18,отличный пряжа чистый шерсть немного колиться помогать боль спина греть спасибо приходить упаковка первый выписывать выписывать спасибо бесплатный доставка выдача ребята простой молодец,2,1,1
Бренд 10,хороший качество пряжа,1,1,2
Бренд 2,супер выходить дыхание рекомендовать,1,1,2
Бренд 21,давно хотеть пряжа заказывать первый вид хороший мягкий равномерно окрашивать скручивать цвет шикарный пробовать вязать ставить  звезда,2,2,2
Бренд 14,цвет  реально отличаться фотография магазин цвет синий застирывать выгорать джинсы любитель возможно спасать освежать тонкий голубой ниточка мохер доставлять быстро упаковка целый,2,1,1
Бренд 24,оба упаковка приходить целый цвет  хороший хотеться совпадать фото спасибо быстрый доставка,2,1,2
Бренд 14,товар хороший сожаление работать ужасный человек который бессовестный воровать пакет раздирать моток товар дешевый поэтому отказ,2,2,2
Бренд 24,ребенок вязать плед говорить пряжа отличный,1,1,2
Бренд 3,получать ткань сначала испугаться никакой опознавательный знак кроме номер цвет сравнивать остаток линда который дома понимать бояться нечего равномерок отличный,2,2,1
Бренд 10,полный разочарование доставлять совершенно пряжа персонал склад слепой ?!!,2,2,0
Бренд 24,приходить целостность петля хороший покупать ,2,2,2
Бренд 24,отличный качество цвет полностью соответствовать,1,1,1
Бренд 6,отличный набор очень красивый,1,1,2
Бренд 53,красивый качественный набор схема понятный нитка достаточно,1,1,1
Бренд 11,добрый день получать набор второй день упаковывать вопрос отличаться набор выкладывать фотка цена очень разный вроде описание одинаково цена разный техника одинаковый разница,2,2,2
Бренд 6,красиво получаться добавлять бусинка,1,1,2
Бренд 22,хороший станок мир,1,1,2
Бренд 22,станочек мечта !!! очень удобно вышивать !!! понимать почему рано преобредать собираться легко гладенький место спасибо производитель продавец новый год,2,2,2
Бренд 25,средство 🔥 вчера получать сразу попробовать маска волос корень !!! эффект супер волос гладкий легкое живой спасибо,2,2,2
Бренд 24,классный пряжа,2,2,2
Бренд 10,отлично спасибо большой,1,1,0
Бренд 24,пряжа понравиться,1,1,1
Бренд 24,очень довольный упаковывать пряжа замечательный,2,1,2
Бренд 22,спасибо очень понравиться станок удобно давно мечтать решаться приобретение инструкция понятный деталь место весь упаковывать поздно скрывать лак спасибо производитель держатель схема докупать отдельно,2,2,1
Бренд 61,мл качество хороший,1,1,2
Бренд 5,супер очень понравиться,1,1,1
Бренд 24,получать пряжа очень приятный шерсть чувствоваться цвет фото нравиться столько положительный эмоция испортить вытаскивать моток задуманый джемпер хватить пряжа набор оставлять забирать подруга бороться кароновирус находиться изоляция уважаемый руководство магазин обращать внимание компания терпеть убыток имидж подорвать клиент уходить  терять гораздо,2,2,1
Бренд 24,пряжа отличный приходить заказывать  шт приходить быстро нужный цвет фото,2,2,2
Бренд 10,отличный тонкий мохер упаковка клубочек выходить свитер паутинка размер  лицевой гладь реглан сверху спица № ,2,2,2
Бренд 10,пряжа отличный  моток вместо  описание огорчать очень  впервые наткнуться  хотя многие писать это впервые (((  аж расхотеться покупать пряжа пряжа претензия,2,2,2
Бренд 10,любить пряжа приятный цена дешевый интернет магазин пряжа выходить жалко фасовка  моток   шт докупать хватать,2,2,2
Бренд 10,хороший ниточка цвет соответствовать узелок чистый упаковка целый вязаться прекрасно,2,2,2
Бренд 17,заказывать мама мама понравиться набор полностью укомплектовывать бисер красивый получаться очень хороший икона любимый святитель спиридон,2,2,2
Бренд 2,супер вышивка работа идти быстро канва мелковатый,2,1,1
Бренд 90,коврик поехать деревня мамин уличный котик мерзнуть зима неотапливаемый помещение по-моему нравиться 😁 🤭 работать коврик исправно 👍,2,1,2
Бренд 6,спасибо очень необычный набор сколько год вышивать увидеть впервые,2,2,2
Бренд 10,купить следующий день цена,1,1,2
Бренд 10,цвет соответствовать заявлять,1,1,2
Бренд 24,пряжа отличный рекомендовать,2,1,1
Бренд 6,чудесный набор первый вышивать бисер рунцало оказываться работать очень сложный окантовка икона заменять золотой бисер набор входить нить новичок это недочет дополнительно приобретать рамка икона отдельно количество бисер хороший запас рекомендовать,2,2,2
Бренд 18,отличный шерсть,2,2,1
Бренд 6,икона очень красивый вышивать трудно трунцать,1,1,1
Бренд 35,великолепный набор натуральный камень натуральный жемчуг трунцало бисер земной красота переживать что-нибудь досчитываться зря набор приходить зип пакет защитный пломба вскрытие спасибо производитель очень довольный белый хороший цена,2,2,2
Бренд 10,красивый цвет,1,1,2
Бренд 16,большой спасибо поставщик производитель,1,1,2
Бренд 10,нитка очень мягкий приятный ощупь,1,2,2
Бренд 33,отличный станок регулироваться весь направление деревянный деталь обрабатывать гладкий специальный приспособление затягивание барашков готовый потребовать место квартира неожиданно большой весь деталька место оставаться лишний болт безумно довольный покупка !!!,2,2,2
Бренд 2,получать набор открывать дом иголка нитка приятный цена копейка,1,1,1
Бренд 25,весь проливать научаться упаковывать товар ??????,1,1,1
Бренд 90,коврик просто замечательный греть аккуратно обжигать быстро нагреваться внутренний сторона проверять пункт выдача нужно подождать мина  полностью прогреваться 😊 😊 😊,2,2,1
Бренд 21,пряжа хороший,1,1,1
Бренд 17,обожать набор фирма получаться чудесный результат,1,1,2
Бренд 33,серега реально мастер собирать чей либо помощь  минута просто получать удовольствие процесс мочь спасибо производитель простота сборка конструкция качество изделие отлично обрабатывать рука нежный дерево максимальный размер рама нужно возможность регулировка высота комплект сто процент наличие приходить точно срок искренне горячий спасибо производитель продавец  :)  удовольствие работа обеспечивать серега мастер,2,2,1
Бренд 10,пока вто спица ,2,1,2
Бренд 4,"добрый день сегодня получать свой очень желанный набор сказать довольный , -  ничто сказать рад слово набор приходить мега быстро сутки заказ отлично упаковывать вскрывать наличие комплект весь инструкция схема иголочка нитковдеватель ниточка мулине очень приятный гладкий ощупь ),  канва разлиновывать фирма лука это первый набор уверенный последний очень понравиться уверенный работать приятно спасибо огромный быстрый качественный доставка самый главное написать обходиться данный набор  р !!!! цена просто нигде огромный спасибо баловать покупатель цена качество добро здоровье )))
",2,2,2
Бренд 10,пряжа отличный спасибо,2,1,1
Бренд 56,спасибо приходить отличный состояние качество,1,1,1
Бренд 16,отлично,1,1,1
Бренд 10,большой сожаление мочь поставлять никакой оценка присылать пряжа заказывать  меринос приезжать серия nord состав который альпака  полиамид безобразие полный отказ большой просьба вайлдберриз внимательный сборка заказ,2,2,0
Бренд 10,пряжа очень классный держать спица рука год десять поучать огромный удовольствие данный момент вязание подсказывать продажа появляться хотеться вязать пряжа,2,2,2
Бренд 10,очень нежный пряжа цвет потрясать новичок ошибаться распускать подваливаться,2,2,2
Бренд 56,это очень хороший штука сначала купить деревянный значительно дешево понимать нужно очищать каждый использование деревянный это довольно сложный несмотря гладкий равный пора просто помыть мыло во-вторых биться ломаться уронить,2,2,2
Бренд 3,качество высота,2,1,1
Бренд 24,пряжа отличный быстрый доставка,2,1,2
Бренд 6,понравиться приходить полный комплект спасибо отзыв брак схема корона приходиться внимательно вышивать это место,1,1,1
Бренд 22,отличный станок комплектация полный поражать доставка следующий день размещение заказ супер оперативно пункт выдача очень вежливый обслуживание спасибо,2,2,1
Бренд 17,набор приходить место вышивать получаться очень красиво спасибо,1,1,2
Бренд 10,получаться бомбический свитер 👍,1,1,1
Бренд 21,очень хороший пряжа  моточек г моточек достаточно крупный размер большой апельсин  :)  ощупь пряжа моток напоминать велюр гладкий  цвет пряжа фото фото правда казаться неоднотонный это фото  цвет классический морской волна темный бирюза  очень глубокий красивый удовольствие вязать купить р сентябрь  спасибо магазин 🤗,2,2,2
Бренд 10,цвет близко мягкий персик коралл поэтому звезда минус персик любить оставлять посмотреть вязка,2,2,1
Бренд 5,упаковывать аккуратно комплектация полный бисер красивый думать рещультат замечательный спасибо,1,1,1
Бренд 24,хороший товар минус звезда порывать упаковка упаковка,2,1,2
Бренд 52,здравствовать очень любить данный фирма сегодня ждать очень неприятный сюрприз  дата изготовление специя   срок годность  месяц ,2,2,2
Бренд 24,отличный пряжа советовать,1,2,1
Бренд 53,набор супер,1,1,1
Бренд 24,вместо от приходить  отправлять назад ,1,1,1
Бренд 24,пряжа очень хороший мягкий цвет яркий плед обалденный получаться заказывать,2,2,2
Бренд 90,очень удобно тепло нога,1,1,0
Бренд 10,пряжа приходить разрывать пакет грязный вместо  х моток,1,2,2
Бренд 33,приходить коробка собирать  минута качество отличный заусенец сучок спасибо,1,1,2
Бренд 56,отличный скребок идеально отполировывать рабочий поверхность иметь хороший скольжение требовать нанесение какой-либо средство это важно сначала заказывать стальной фирма значительно дешево неровный край который оставлять царапина вернуть влюбленный обязательно заказывать форма спасибо,2,2,2
Бренд 10,отлично,1,1,1
Бренд 3,вместо белый приходить канва молочный слоновый кость люрекс думать повезти присылать белый,2,2,1
Бренд 22,заказывать станок вышивание иволга приходить снегирь который стоять дешево товар оценивать немогать,2,2,2
Бренд 10,спица идеальный !!! качество отличный спасибо магазин !!!,1,1,2
Бренд 10,отличный спица очень красивый удобный вязаться легко,1,1,1
Бренд 17,качественный вышивка ткань хороший стягиваться бисеринка одинаковый ровный,1,1,2
Бренд 24,отличный пряжа,2,2,1
Бренд 10,поставка пряжа,2,2,0
Бренд 24,получать пряжа мотков супер,1,1,2
Бренд 18,отлично приходить пряжа вовремя целехонький спасибо,1,1,1
Бренд 5,отличный качество набор фирма набор заказывать восторг !!!,2,1,2
Бренд 90,коврик вообще греть 🤦 🏽 ‍ ♀ ️  очень ждать коврик работа очень холодно просить удерживать процент оформлять возврат перезаказывать,2,2,2
Бренд 4,просто балдеть нитка лука сочный перламутровый оттенок полагать  иголка очень приятно картина шикарный,2,2,2
Бренд 24,цвет нитка совершенно соответствовать фото дело индивидуальный настройка телефон компьютер  большой минус разочарование,2,2,1
Бренд 10,отличный пряжа,2,2,1
Бренд 10,пряжа превосходный вязаться легко петелька ровный цвет отличаться заявлять валберес писать номер цвет посмотреть официальный сайт дропс,2,2,2
Бренд 18,пряжа очень хороший теплый объемный вязаться легко быстро цвет бомбический,2,2,2
Бренд 18,хороший приятный работа нитка,1,1,1
Бренд 11,описание канва мелкий,2,1,1
Бренд 24,пряжа доставлять быстро упаковывать внешне понравиться цвет приятный шелковистый отлив ощупь мягкий,2,2,1
Бренд 10,пряжа шикарный брать носочек мужчина пара уходить   моток спица   муж восторг получаться толстый очень теплый хотеть цвет просто бомба 💣 плавный переход очень порадовать,2,2,2
Бренд 14,понравиться пряжа вязать  сложение сложение марка мидар сложение итого  сложение пояс вязать  сложение нить  сложение мидар мохер очень мобильный получаться мягко намного крутой просто толстый нить,2,2,2
Бренд 7,очень расстраивать хотеть ждать набор !!!! набор приходить вскрывать хотя производитель наклейка контроль вскрытие напрочь отсутствовать пакет закрываться внутри мусор нитка часть откреплять орнанайзер ощущение отматываться пакет потаскать вид набор вернуть ждать деньги обратно пока вернуть обратно склад заказывать новый отдавать надеяться присылать новый набор вб почему принимать обратно вскрывать набор рассылать,2,2,2
Бренд 90,коврик суппер нога согревать очень сидеть босиком носок греть пол ледяной плитка поэтому коврик становиться спасение зима,2,2,1
Бренд 9,хороший пряжа,1,1,2
Бренд 11,приходить набор возврат приходиться заказывать снова просить снимать процент,2,2,0
Бренд 24,спасибо покупка довольный !!!,1,1,2
Бренд 2,отличный набор очень красивый мучаться уставлять нитка ушко иголка нитка толстоватый ушко очень узкий,2,2,1
Бренд 10,вязать удобно нитка равномерный толщина цвет синий фото,2,1,2
Бренд 22,отличный очень качественный пяльце купить сменный станок иволга льняной равномерок натягивать держать,2,2,1
Бренд 24,пряжа хороший цвет фото намного ярко,1,1,1
Бренд 52,приправа вкусный заправлять лучок самый 😋,0,2,2
Бренд 11,"спасибо огромный wildberries возможность приобретать великолепный товар цвет вышивка настолько яркий насыщенный вызывать полный восторг производитель отдельный спасибо качественный канва яркий блестящий ниточка иголочка удобный ушко начинать вышивать  ))
",2,2,2
Бренд 10,пряжа очень понравиться вязать удовольствие,1,1,1
Бренд 90,коврик тепло брать кошка понравиться тепло уютно также пригождаться ножка погреть,2,1,2
Бренд 24,цвет абсолютно соответствовать фотография яркий,2,2,2
Бренд 10,отличный дорого многий спец магазин зато доставка бесплатно немного поэтому разница цена привычный интернет магазин брать европейский пряжа очень заметный оказываться знать артикул пряжа мягкий неколючий теплый хороший абсолютно весь вид узор изделие мера пилинговаться крутка средний желание поддаваться валяние,2,2,2
Бренд 28,"прекрасный шерсть покупать шерсть производитель нравиться цена приятный спасибо  :)
",1,2,1
Бренд 24,отличный нитка очень приятно вязать пледик,2,2,1
Бренд 25,пользоваться неделя волос понравиться использовать ночь спать,1,2,1
Бренд 10,пряжа упаковка шт приходить целое,1,1,2
Бренд 24,пакет приходить надрезать место связывать пока изделие  моток идеальный второй петля лысоватый,2,1,2
Бренд 5,набор замечательный вышивать разный работа получать особенный удовольствие качественный бисер схема определенный угол икона эффект d очень рекомендовать,2,2,2
Бренд 10,пряжа отличный очень приятный вязание заказывать 👍,1,1,2
Бренд 21,спасибо быстрый доставка,1,1,1
Бренд 4,#VALID!,0,1,1
Бренд 10,отличный спица нарекание спасибо,1,1,1
Бренд 24,замечательный полушерсть брать цвет  серо бежевый вязка изделие немножко грубоватый стирка гель кондиционер становиться мягкий распушаться закрывать пустой пространство петелька свитер выходить очень теплый вязать двойка,1,1,2
Бренд 24,цвет качество соответствовать нитка тонкий,1,1,1
Бренд 10,пряжа мягкий тактильно приятный ангора равномерно полагать шелк вязание очень видно густо пусто это снимать звезда большой расход  размер джемпер длина  см уходить  моток посмотреть выглядеть стирка,2,2,2
Бренд 90,отличный коврик подогрев,2,2,1
Бренд 2,результат получаться замечательный  цаета бисер хватить это очень неприятно набор дешевый ,1,1,2
Бренд 4,"влюбляться набор производитель схема четко прорабатывать требоваться никакой бэкстич цвет шикарный особо хотеться отмечать очень удобный органайзер , -  нужно сверяться ключ рука нитка путаться перетираться общий luca мечта любой вышивальщица",2,2,2
Бренд 22,станок понравиться собирать недолго дело пробывать думать единственный нужный таки боковой натяжка это мнение,2,2,2
Бренд 10,купить очень красивый белый сапожок вязать шарфик пряжа очень мягкий пушимтать коасивый спасибо большой,2,2,0
Бренд 14,отличный пряжа  совпадать описание цвет качество очень довольный покупка,1,2,2
Бренд 18,пряжа очень понравиться,1,2,2
Бренд 4,комплектация полный  планшетка нитка х цв х цветок,1,1,1
Бренд 18,пряжа отличный свитер получаться просто супер спасибо,1,1,1
Бренд 33,рама целый хороший качество коробка немного потрепаный это издержки перевозка довольный покупка,1,1,2
Бренд 6,классный работа получаться хороший бисер рекомендовать,1,1,0
Бренд 2,спасибо производитель wb порядок доставка срок набор изъян,1,1,1
Бренд 21,сожаление нить оказываться тонкий ожидать впервые сталкиваться длительный возврат денежный средство  отказываться пряжа сегодняшний день  оповещение возврат деньги получать обидно ,2,2,0
Бренд 61,баночка хороший покупать воздушный пластилин,1,1,1
Бренд 56,ммм ))  замечательный,1,1,2
Бренд 24,мягкий цвет приятный советовать,2,2,1
Бренд 2,замечательный икона вышивать подарок онкологически больной брат,1,1,1
Бренд 2,упаковка повреждение набор фирма брать первый шиться легко быстро набор готовый рамка брать подарок рекомендовать покупка,2,2,1
Бренд 6,очень хороший набор икона получаться красивый очень редкий именной икона спасибо,1,1,2
Бренд 6,результат,1,1,2
Бренд 90,отлично обувь ножка теплый спина весь место обогревать !!! тепло перевертывать изнаночный сторона холодно лицевой очень довольный !! спасибо,1,1,1
Бренд 4,огромный спасибо вб возможность купить набор хороший цена р,1,1,2
Бренд 10,жена просто восторг спасибо огромный 👍 🏻,1,1,2
Бренд 22,получать хороший вид очень быстро любимый размер димовский голд это второй рама качество хороший уровень спасибо,2,2,2
Бренд 18,ниточка привозить рано заявлять пряжа прекрасный очень красивый цвет выбирать магазин купить цена существенно низко магазинный очень довольный,2,2,1
Бренд 24,отличный пряжа цвет фото приходить упаковывать,2,2,2
Бренд 56,подарить жена  март восторг качество высота это керамический появляться скол поход вечный красивый спасибо производитель советовать,2,2,2
Бренд 23,хороший пряжа приходить быстро заявлять  моточек,2,1,1
Бренд 56,вещичка супер цена офигенный,2,1,2
Бренд 4,набор отличный очень быстро доставлять,2,1,0
Бренд 24,пряжа синий сиреневый светло-серый колоться хрустеть писать низко пряжа производитель любить именно купить возврат,2,2,2
Бренд 5,описание пришлр целый качество супер,1,1,1
Бренд 22,рама полный восторг гладкий красивый запяливаться канва натяжка держать отлично жаль рама больший размер купить раздумывать,2,2,2
Бренд 10,присылать пряжа который заказывать присылать точно отзыв передо это система  очень ждать неприятно знать смысл перезаказывать,2,2,2
Бренд 24,очень приятный пряжа качество отличный,2,1,2
Бренд 35,"очень красивый вышивка получаться вышивать быстро давно хотеть приобретать ангел хранитель домашний очаг "",  т петр феврония удаваться купить скидка полностью укомплектовывать покупка рекомендовать",2,2,2
Бренд 10,связывать водолазка  нить пряжа мягкий уходить  моток рекомендовать 👍,2,2,2
Бренд 56,сожаление приходить царапина шероховатость ребро скребок второй привозить скребок трещина царапина неужели человек упаковывать товар проверять,2,2,1
Бренд 3,отличный ткань описание,1,1,1
Бренд 22,чудесный станок давно хотеть сомневаться  купить пожалеть !!! очень удобно !!!,1,1,1
Бренд 90,думать работа холодно ножка мерзнуть очень удобно врач сидеть прием коврик ничто видно,2,1,2
Бренд 24,хороший ниточка понравиться,1,1,2
Бренд 4,полный комплект нитка достаточно оставаться вышиваться легко рекомендовать покупка добавлять фото набор серия,2,2,1
Бренд 10,ниточка хороший вязать приятно особый усилие получаться милый носочек,2,1,2
Бренд 8,очень ждать набор сожаление приходить пока мочь оценивать качество данный набор товар претензия оформлять возврат ждать набор похожий темный котейка,2,2,1
Бренд 10,шапочка получаться супер мягкий довольный,1,1,2
Бренд 17,картина хороший хватить цвет приходиться подбирать оттенок,1,1,1
Бренд 17,"ставить  звезда приходить целость сохранность ничто просыпаться бисер ),  цвет место давать бог хватить бисер надеяться набор фирма бисер избыток  :)  сразу видно картина огонь 😍",2,2,1
Бренд 2,"упаковка нарушать весь наличие схема очень крупный понятный вышивать подобный нитка похожий катушечный ),  надеяться вышивать приятно вышивать обновлять отзыв",2,2,2
