Текст отзыва,Полезность (количество минусов),Не устраивает качество товара,Не устраивает цена товара,Брак заводской / брак в результате транспортировки
"Отличные нитки, нету лысин. Все петли одинаковые. Я довольна",1,0,0,0
"Один моток из трех оказался бракованным. Нить разной толщины по всей длинне, вязать не возможно. Моток на выброс.За такую цену хотелось бы иметь качественную пряжу.",1,0,0,0
"Масло пришло без упаковки, без защиты вскрытия.... это даёт задуматься о содержимом во флаконе....Несмотря на выше указанный факт....упаковку так и не пересмотрели....((((",1,0,0,0
"Колется, сын и муж раскритиковали, после стирки вроде получше, но потом с каталось всё, дрянь - одним словом",1,0,0,0
"Цвет прислали другой,темно серый.Нитка тонкая,надо вязать в 2,покупать надо 4мотка минимум.",1,0,0,0
"Заказала пряжу, вместо 6,пришел 1. Прошу не снимать процент выкупа.",1,0,0,0
Будут ли поставки пряжи ? И когда ?,1,0,0,0
"Добрый день.Получила свои ниточки,очень мягкие и приятные на ощупь!Цвет не совпадает,на много светлее,но тоже красивый!",1,0,0,0
"Странная пряжа,тонкая,тянется как резинка.Цвет коричневый оранжевый белый.отказ",1,0,0,0
"Это издевательство! Пришел один маток, интересно кто комплектовал заказ вообще в своём уме?",1,0,0,0
"Связала отличный сунд, который будет греть малыша лучше прежнего",1,0,0,0
"Замечательная, мягкая, шелковистая.",1,0,0,0
Пряжа хорошая. Как котенок. Подходит для деток с рождения,1,0,0,0
"пряжа супер,заказала в этот раз 6 упаковок, ну и мне прилетело впервые как и другим -одна пришла- вместо 3х мотков 2 мотка.обязательно проверяйте наличие в каждой упаковке,особенно если заказ большой,видимо на это и идет расчет,что человек не будет все досканально рассматривать или поспешит...эх комплектовщики....теперь перезаказывать...ВБ ,сделайте уже оплату при получении,если такие косяки случаются!",1,0,0,0
"Все хорошо, но нетклипсов",1,0,0,0
Всё отлично!!! Пряжа нужного цвета . Качество супер!!!!,1,0,0,0
"Пряжа супер! Петли качественно скреплены, не распускаются. Спасибо.",1,0,0,0
"Здравствуйте. Заказ получила. Пока ещё не собирала. На первый взгляд все ок. Качество материала отменное. Ни одной шероховатости. Инструкция по сборке. Все детали на месте. Очень довольна. Как соберу рамку, отзыв дополню. Ставлю конечно же 5 звёзд.",1,0,0,0
"Пряжа самая лучшая, моя любимая! Вяжу крючком 1,25",1,0,0,0
Прислали без гаек. Из металической фурнитуры не было ничего вообще. Очень неприятно. ,1,0,0,0
"Пряжа интересная, посмотрим что получиться, взяла себе на шапку",1,0,0,0
"Пряжа очень понравилась, вязала с удовольствием! Покупала 5 упаковок. Связала из них двойную шапку, бактус, варежки и из оставшегося клубка получилась повязка)",1,0,0,0
Слабый нагрев коврика на фоне перегрева проводов,1,0,0,0
"Неоднозначное мнение. Петли вяжутся все ровненькие и нить идет легко. Но очень уж колючая пряжа!! Для носочков идеально наверное, но я взяла для шапки....",1,0,0,0
"Красота получилась, пряжа супер!",1,0,0,0
"Привезли один моток, получал муж, хорошо его предупредила, что должно быть три мотка, возврат буду заказывать снова. При Сборке заказа совершенно не смотрят, какое количество должно быть в наборе пряжи",1,0,0,0
"Восхитительный набор. Вяжу и получаю удовольствие. Большой выбор номеров. От 3,5 до 8. Некоторые уже в работе. И дерево твёрдое. Надежнее бамбука. Сами спицы очень красивые. Четыре лески с самой ходовой длиной. Куча стопперов. И два соединительных блока, что не часто встречается в наборах. Огромная сумка, в которой у меня теперь хранятся и другие спицы. И маленький чехольчик. Подходят к тросикам от КнитПро. Мечтаю теперь купить ещё 3 размер спиц, и тросик 40 см. Цена 3000₽ просто восторг. Очень рада, что успела купить. Спасибо за отличную вещь!!!",1,0,0,0
"Отличная ниточка, покупала со скидкой 3 моточка за 1338, брала три набора, один вернула т.к. уложилась в 300 гр)! 
Пуловер размер 54, расход 300 гр, спицы 4 и 4,5, очень приятный и комфортный))) цвет такой интересный, сложносочинённый)))!",1,0,0,0
"Цвет не соответствует.  И цена через 2 дня стала с 2 раза ниже. Ужас! Качество, мягко говоря, не очень..... Не рекомендую?",1,0,0,0
"Совсем не соответствует описанию! Схема не на ткани, а там листок с дырками, размер заявлен 13,5*17,но...это с рамкой, а сама картина намного меньше, фото прилагаю! Конкретный обман покупателя! За такие деньги брать вообще не стоит!",1,0,0,0
"Давно хотела такую пряжу, заказала первый раз. На вид хорошая, мягкая, равномерно окрашена и скручена. Цвет шикарный! Буду пробовать вязать из нее. Ставлю 5 звезд",1,0,0,0
"Сам рисунок мне понравился, но начав вышивать, поняла, что схема ужасная. Даже мне, человеку с опытом в этом виде рукоделия, очень сложно. Бисер тоже оставляет желать лучшего. Не ровный и не одинакового размера. В любом случае новичкам не рекомендую.",1,0,0,0
Замечательная пряжа. Вяжется легко. Расход небольшой. На джемпер  примерно 5 мотков уйдёт.,1,0,0,0
Первый поток нить расплетаеься не успев сделать даже петли. Пока не однозначное мнение,1,0,0,0
"Отличный станок для вышивания, все детали в комплекте, рекомендую купить, кто любит вышивать",1,0,0,0
"Заказала 2 упаковки, в одной не хватало 3 мотков пряжи, пакет разорван. Из-за этого отказ.",1,0,0,0
"Все пришло в пакете, хорошо упаковано. Ниточки отличные.",1,0,0,0
Пришла другая основа !!! Другой фирмы !!!!!,1,0,0,0
У этого продавца нет плохого товара. Остаётся почаще заглядывать к нему и ждать удачной скидки.,1,0,0,0
Очень долгая доставка,1,0,0,0
"К сожалению альпака оказалась очень колючей для кожи с атопическим дерматитом. И конечно же минус в том, что нельзя стирать в стиральной машине. В я машинке только отжимала на деликатном режиме, но увы, за несколько таких манипуляций свитер сел, стал плотным как валенок. Видимо, не мое. А так хотелось! Фото 1 - свяжесвязанное изделие. Фото 2 - результат отжимов в стиральной машине",1,0,0,0
Доставка подкачала,1,0,0,0
Мне попался со сколом. Возврат.,1,0,0,0
Претензий нет,1,0,0,0
"Пряжа очень мягкая,пришла очень быстро,все три моточка.Цвет совпадает,очень довольна.Буду заказывать ещё",1,0,0,0
Красивый цвет,1,0,0,0
Пряжа мягкая петельки ровные цвет то что надо,1,0,0,0
"Очень маленькие клубочки, расчитывала на большее, на такой свитер ушло 9 мотков(450гр). Немного все-таки колючая, приходиться под изделие что-то одевать. Цвета понравились, очень нежные и сочетаются хорошо.",1,0,0,0
Пряжу получили упаковка хорошая пряжа по 4 штуки упакована в ЗИП пакет с застёжкой цена отличная хотелось видеть больше цветов пряжа Ализе Лана Голд Файн это моя любовь Бренду Ализе браво ждем новые цвета и оттенки пряжу рекомендую Валбириз и пряжа супер вам браво,1,0,0,0
"Пряжа не плохая хорошо вяжется и пительки ровные,. Но ооочень колится",1,0,0,0
"Я просто в шоке... Получила вместо шести один моток, в запаянном целофанновом пакете, так еще и заявку на возврат не одабривают... В пункте выдачи сказали пишите притензию, а то на нас повесят недостачу... А здесь администрация отказывает, нет слов от работы валдберис... Не хочу оценивать товар, А работа магазина разочаровала полостью... Больше заказывать не буду",1,0,0,0
"Так себе меринос, скрипит как будто это акрил. При вязке шапки «стоит колом». Расход на шапку 55 см 3 мотка при вязке в 2 нити. Да, пряжа не колючая, но нитка тонкая если вязать в 1 нить. Да и скрипит. Рекомендую присмотреть что-то другое.",1,0,0,0
"красивый, солидный, правда не хватило бисера 016F.",1,0,0,0
"Отличный набор, все в комплекте, картина получилась яркой и красивой!",1,0,0,0
Греет и одна и другая сторона !👍🏻,1,0,0,0
"Упаковка целая, довольна",1,0,0,0
Хорошая пряжа.,1,0,0,0
Примерно час собирала. Пока не пробовала насколько удобно,1,0,0,0
"Где всё теряется, бродит по просторам",1,0,0,0
"Вопрос к самим wb. Прислали приправу с истекающим сроком годности, которой осталось пользоваться 1 месяц и 10 дней. Об этом нигде предупреждения не было.

Подала жалобу, но ее отклонили.

Ну, спасибо, продали тухляшку и теперь отнекиваются.

ОБЯЗАТЕЛЬНО ПРОВЕРЯЙТЕ СРОКИ ГОДНОСТИ ПРИ ПОЛУЧЕНИИ!",1,0,0,0
"Не колется, вязать удобно, но в изделии сильный перекос!",1,0,0,0
"Пришли все 4 моточка, упаковка целая - все отлично!  Цвет  совпадает. У меня были уже такие нитки , я сделала дозаказ, цвет с другой партии совпадает полностью . Я довольна и рекомендую к покупке! Пряжа очень классная!!! Спасибо !",1,0,0,0
"Открыла банку-тубу. Цвет,консистенция в норме. Запах умеренный. Но-почему соленый? Ни на упаковке,ни на сайте об этом ничего  не сказано.(((",1,0,0,0
"Спасибо большое за такую классную пряжу WB и производителям! Связала классный свитер, буду ещё вязать. Хотим чтобы эти пряжи были у вас всегда в ассортименте.",1,0,0,0
Пряжа шикарная! Из 3 мотков получилась безрукавка 42 размера,1,0,0,0
"Все отлично, получила набор - претензий нет, думаю, когда вышью, картина займет достойное место в моей коллекции(животных я еще не вышивала), надеюсь, не пожалею. А цена приятно порадовала.",1,0,0,0
"Заказала 2 упаковки по 4 матка.. В одной пришло как и полагается 4 матка. А в другой упаковке пришло всего 3. Обидно, и когда получала не увидела. Расчитывала на 2 свитера, А теперь не хватает. Очень обидно.",1,0,0,0
Цвет не совпадает с ранее заказанные.,1,0,0,0
"Привезли не тот товар. В описании указано xl, а привезли просто baby wool. Сама по себе пряжа хорошая. Возврата не будет, но такие ошибки расстраивают и меняют планы при вязании",1,0,0,0
"Цвет соответствует фото. Очень мягкая пряжа. Но настолько тонкая и рыхлая, что в одну нить сложно вязать. У меня петли не ложатся равномерно. Хотела связать двойную шапку в одну нить с отворотом, но, судя по образцу, лучше будет выглядеть в две нити.",1,0,0,0
"Как же я довольна этим набором. Комплектация полная. Канва 18 с разметкой, это мой первый опыт шить по размеченной канве. Никогда разметку не делаю, а эта такая не навязчивая и не мешает.  Мулине удачное не махрится, не скручивается. В наборе идет 2 иглы и нитевдеватель. Правда 1 игла не вышивальная, непонятно зачем она.",1,0,0,0
Набор пришел в целости и сохранности,1,0,0,0
"Заканчиваю пуловер. На свободный 46 размер ушло 5 упаковок пряжи, крючок 3. Пуловер получается мягкий, нитки ровные, без узелков. Чистое удовольствие!",1,0,0,0
Отличная пряжа,1,0,0,0
"Вязала в две нити. Получилась плотная, тёплая и очень колючая шапка. Перевязывала 3 раза (я новичок) пряжа стерпела всё, не растрепалась. Вяжется легко. Буду брать ещё, но вязать вместе с мягкой хб пряжей.",1,0,0,0
"неравномерная скрутка, в каждом мотке разная по толщине нитка, из-за этого петле ровно не ложатся, разочарована",1,0,0,0
"Отличное качество, мягкая лёгкая пряжа. Из 4 мотков получился пледик 85х105см.",1,0,0,0
"Когда будет поступление пряжи? Отличная ,мягкая пряжа для шапок и верхней одежды.",1,0,0,0
"Ужас приехало. Совсем другие нитки и цвет,   акрил и 4 шт. Неужели на складе одни ...? Или нас таковыми считают? Ну если нет в наличии, не выставляйте на продажу!",1,0,0,0
Супер пряжа,1,0,0,0
"Набор яркий, бисер хороший, но принт на ткани нанесён с перекосом поэтому 4 звезды",1,0,0,0
"Хорошая вышивка.
Вышивать легко.
Бисера остается много.
Прилагаю фото)",1,0,0,0
Все хорошо,1,0,0,0
"К большому сожалению, не могу поставить никакую оценку, прислали совсем другую пряжу! Заказывала 100% меринос, а приехала серия NORD, в составе которой альпака 45% и полиамид! Это безобразие полное! Конечно же был отказ. Большая просьба к Вайлдберриз быть внимательней при сборке заказов!",1,0,0,0
"Пряжа хорошая, очень понравилась и по составу, и в вязании, и по тактильным ощущениям я в восторге от нее была. Я ещё новичок в вязании, связала джемпер для дочери размер М, немного оверсайз, расход приличный ( ушло 12 маточков в две нити, спицы 3,5) при вто вода окрашивается хорошо, изделие в размере не изменилось. На фото видно рукава немного отличаются по тональности 10 моточков не хватало, пришлось докупать ещё 4 моточка в магазине ( на валдберис не было) ну а там уже другая партия и соответственно есть отличия в тональности ( лучше сразу больше покупать). Пробовала образец аранов вязать( снизу до середины в одну нить, от середины в две нити).",1,0,0,0
"Петельки все разной высоты , а есть и вообще в который да же мизинчик не влез",1,0,0,0
Все отлично!,1,0,0,0
Заказла 4 упаковки. сейчас поняла что пришло пять. а вместо трех светло серого цвета пришло две упаковки.,1,0,0,0
"Очень красивый набор, мне понравилась!",1,0,0,0
"К сожалению, набор пришел вскрытым. Вроде все на месте, но осадок не очень приятный. Набор не из дешевых.",1,0,0,0
"Прислали только один моток вместо 6, как теперь сделать возврат, не доказывая, что моток был всего 1?",1,0,0,0
"В отличном состоянии запечатанный не мятый.очень понравился.в наборе канва горчичного цвета,иголочка,красивые цвета ниточек,крупная схема цвето-символьная подробная,понятный ключ.инструкция.буду вышивать с удовольствием!и цена дешевле чем в других магазинах!",1,0,0,0
"Очень хороший набор, гамма ниток шикарная! Давно хотела приобрести набор этого производителя! Буду вышивать с огромным удовольствием!",1,0,0,0
"Цвет нежный (мятный), как на фото. Свитер получился тёплым и мягким. Не люблю шерсть (колется телу) и поэтому эта пряжа самое то!",1,0,0,0
Шикарный набор. Давно хотела его купить. Вот мечта сбылась.,1,0,0,0
"Согласно с предыдущим отзывом Елены - цвет совсем не молочный, а грязно-бежевый. Как будто с альпаки как вычесали, так и спряли без всякой окраски. Хотелось побелее, поэтому отказ (((
Сама пряжа великолепная, уже 3 джемпера связала. Получились мягкие, практически невесомые. В зависимости от рисунка на 48 размер уходит около 5-6 мотков.",1,0,0,0
"Пока только внешне и на ощупь могу оценить. Мягкая, пушистая. Единственное, что цвет не молочный, а топленого, сильно топленого молока. Фото хорошо передало реальный цвет. Руки чешутся начать вязать. Позже отпишусь по ощущениям.",1,0,0,0
"Покупала этот цвет в магазине, намного интереснее цвет. Не хватило, заказала. Пришёл намного светлее, хотя с магазином цвет совпадает. 


Плюс мешочек с пряжей был в чем-то сладком.",1,0,0,0
"Нежнейшая пряжа.Качество супер.Италия есть Италия
Рекомендую!!!",1,0,0,0
"Цвет понравился, именно то, что мне было нужно. Качество супер! Размер отреза соответствует размеру, заявленному на сайте. Спасибо",1,0,0,0
Канва не пришла. Вместо канвы положили детский шампунь за 200 руб.,1,0,0,0
Вязала сыну пуловер. Классные нитки. Вязать очень приятно. Не колется. Спасибо.,1,0,0,0
Все хорошо,1,0,0,0
"Ждала эту пряжу, она реально классная!! Нигде ее нет, только у вас и нашла, спасибо!! Доставка была быстрая и оперативная, порадовали !👍👍",1,0,0,0
"Пряжа понравилась, вяжется легко, распускается без проблем. Узелков не было. Единственный момент- при вто изделие слегка полиняло, но не критично. В целом довольна.",1,0,0,0
Получила набор.Был вскрыт и даже ничем не заклеен.Все из него вываливалось.В наборе не хватало ключа(расшифровки символов).Сделала возврат.Очень неприятно...,1,0,0,0
"Заказала 2 одинаковых скребка, пришли 2 разных по форме (на фото видно). Упаковка это что-то! Без коробочки, в мешочке, без описания, вообще никакой бумажки! Буду надеяться, что скребки действительно из медицинской стали, потому что на железо у меня аллергия!",1,0,0,0
"Наконец я купила этот набор!) 
В него входят канва, игла, нитки, схема, инструкция. Схема черно-белая, символы крупные. Сама схема на 4 листах (1 лист размер А3). Нитки яркие,  картина получится живая, уютная и праздничная)
В общем рекомендую к покупке!😊
Вышью, дополню отзыв)",1,0,0,0
"Цвет насыщенный, долго караулила эту пряжу. Ещё не испробовала . Позже дополню комментарий.",1,0,0,0
"Замечательная пряжа, одна из лучших. Спасибо производителю и магазину.",1,0,0,0
"Пряжа, супер! Вяжется легко!",1,0,0,0
Нежные приятные глазу цвета,1,0,0,0
Отличная Пряжа. Вяжу из неё бактусы.,1,0,0,0
"Спасибо за ниточки. Цвет  тот, что и заказыаала, качество отличное. На фото получились серые.",1,0,0,0
"Без запаха , очень мягкая )❤️",1,0,0,0
"хорошая канва, мне понравилась, хорошо обработаны края",1,0,0,0
"По качеству понравилось, но цвет на самом деле не такой яркий как на фото. На фото голубой ближе к фиолетовому отдает, а на самом деле какой-то светло светло фиолетовый с серинкой...",1,0,0,0
Красивая пряжа.,1,0,0,0
"Скребок класснючий! Сколов нет, идеально отполирован . Уже несколько раз пользовалась,очень нравится ( до этого был каменный и ,конечно же, разбился). Этот тоньше каменного ,мне  приятнее им делать массаж. 
Единственное что немножко не понравилось- это упаковка, всё таки товар не дешёвый , в коробочке Вау - эффект был бы в разы больше))",1,0,0,0
"Набор отличный, очень быстро доставили",1,0,0,0
"Цвет не особо горчичный, скорее охра, или темно-песочный",1,0,0,0
Набор отличный. Спицы хорошие. Сумка очень удобная. Покупкой довольна,1,0,0,0
"Качество потрясающее, но на фото кажется жёлтым , а реальности молочный, цвет сильно отличается от картинки ...",1,0,0,0
"Думала будут крупнее петли, попробую заказать другой",1,0,0,0
"Прекрасная пряжа. После ВТО образец ни сел, ни растянулся, ни покосился, немного распушился. Мягкая, не колючая. Взяла разных цветов.",1,0,0,0
Все отлично,1,0,0,0
"Заказала набор luca s, получила в пункте выдачи, при проверке данного набора было обнаружено отсутствие расшифровки символов на схеме. Она просто отсутствует. Набор был вскрыт и заклеен скотчем. Прошу помочь в решении данной проблемы.",1,0,0,0
Вместо слонов прислали маяк желаний. А я так их ждала(,1,0,0,0
"На данный момент моя любимая пряжа! Раньше покупала ее в интернет магазине пряжи,не так давно обнаружила здесь, по цене выходит даже дешевле здесь.А если кто то считает что дорогая, то пож- та покупайте акрил  по 100 гр)))",1,0,0,0
Упаковка в порядке. Колпачок на месте,1,0,0,0
Пряжа очень понравилась!!! В тандеме с однотонной ниточкой ангоры просто нереальная вещь получилась!,1,0,0,0
"Отличная пряжа! Мягкая, приятная на ощупь. Все петельки целые. Брала на плед. Спасибо производителю.",1,0,0,0
Отличные ниточки,1,0,0,0
"Заказывала 9 упаковок. Эту пряжу брала и раньше, на этом сайте, но, по-видимому , у другого продавца. Ранее брак встречался мне лишь однажды за пару лет, а здесь брак в каждом мотке хотя бы 1 раз встречается. Никому не советую этого продавца. Больше здесь покупать не буду. ( Браки в виде отсутствия петель, порванные петли, отсутствие цвета и тп) Кажется, что это подделка. ",1,0,0,0
"Сам по себе набор отличный ! Бусины красивые, бисера ровно столько сколько уйдет на браслет. Единственное уродцы не положили карабин-замок! Придётся покупать шнурок (а он на минуточку от 150₽ и разобрать ради карабина ))))) ) т.к ни в одном из разделов «фурнитуры» - не нашла просто замок ! Уважаемые, «Упаковщики» ! Ставьте СЕБЯ на место покупателя! Делайте полную комплектацию набора ! Он все же не три копейки стоит. Непозорьтесь ;)))) довольный покупатель приведёт ещё троих , а недовольный уведёт десять.",1,0,0,0
Мегабыстрая доставка... Как всегда на высоте.,1,0,0,0
Набор понравился. Доставка быстрая,1,0,0,0
"Купила нитки. Цвет коралловый. Сразу четыре мотка. И вроде бы все отлично. Но! Взяла два мотка и стала вязать в две нитки.... В результате на данный момент в одном осталось 10 грамм, а другом 35. Как такое может быть? Они должны закончиться одновременно. Даже и не думала раньше, что нужно взвешивать мотки ( по другому и не оценить, может уже кто-то отматал чуть чуть ;(. )",1,0,0,0
"Держит форму хорошо, приспособила под канву 100х150.",1,0,0,0
"Пряжа мягкая, пушистая, вяжется легко. Изделие получается приятным к телу, не колется. Пришли все 3 штуки.",1,0,0,0
👍👍👍👍👍👍👍👍👍👍👍,1,0,0,0
"Хорошая пряжа, толстенькая, греет хорошо, ровно быстро вяжется, но дороговато даже со скидкой. Взяла только что цвет понравился и производитель заинтересовал, а так наша Пехорка не хуже и дешевле намного.",1,0,0,0
Упаковка качественная. Красивая нить.  Вязать одно удовольствие.,1,0,0,0
"Честно говоря, не понравилась пряжа. Она, конечно, мягкая, приятная наощупь, но, во-первых, цвет не соответсвует фото (в реальности цвет более насыщенный, не такой приглушённый), во-вторых, цвет не однотонный а с розовыми вкраплениями, и в-третьих , мне не понравилось как пряжа при вязании расслаивается. И моточки очень маленькие. Считаю, цена завышена.",1,0,0,0
"Получила иконку,упаковано хорошо👍..не поняла,почему в комплекте нет ниток.🤔..возможно, конечно,это упущение производителя,но вы тогда хотя бы пишите,что к этому набору нитки надо приобретать отдельно....и было бы совсем идеально,если б писали количество цветов бисера...
Скоро приступаю к отшиву, возможно отзыв будет дополнен фото уже готовой работы😜",1,0,0,0
Только начала вязать. Пока всё хорошо без узлов. Вообще люблю эту пряжу,1,0,0,0
Очень сильно лезет,1,0,0,0
"Доставка быстрая, упаковка не повреждена, комплектация целая. Шлифовка деталей порадовала. Сборка лёгкая. Очень удобный станок.",1,0,0,0
"Красивый, качественный набор! Уже четвёртый в моей коллекции от этого бренда. Канва нежно-бежевая, 16. Схема черно-белая, значки средние, хотелось бы покрупней!",1,0,0,0
"Очень понравилась токтильно и цвет яркий. Шапка связана полностью из Каризма в белом цвете и фуксия. Спицы 3,5. Немного колется по моим ощущениям, но ребенок не жалуется на дискомфорт. Расход на шапку с окружностью головы - 51см: 1моток белого и 1 моток фуксия.",1,0,0,0
Пришел другой набор. Возврат. Придется заказывать снова. Прошу не снимать процент.,1,0,0,0
Соответствует описанию. Ниточка хорошо скользит по спицам. Ложиться отлично.,1,0,0,0
"Пряжа классная! Цвет супер, на ощупь мягкая! Очень довольна! Упаковка целая!",1,0,0,0
"Добрый день . Получила набор уже на второй день  . Все хорошо упаковано. Но у меня вопрос : чем отличаются вот эти два набора? Я выложу фотку . По цене они очень разные но вроде по описанию все одинаково , а цена такая разная ! Техника одинакова . В чем разница ?",1,0,0,0
"Какая прекрасная брошь 😍 вообще качественный набор фирмы «Образа в каменьях»,есть с чем сравнивать.Теперь на очереди этого же производителя брошь  «Матрешка» 🥰",1,0,0,0
"Интересная пряжа. Связала пледик для малыша. Но под ним тело потеет🙁 хотя у пледика связанного из alize puffy такого не наблюдается. А ещё запах, после нескольких стирок не ушел, может кому то понравится, но для грудничка я бы не рекомендовала!",1,0,0,0
"Цвет ближе к светло сиреневому. Пряжа хорошая, вязать одно удовольствие.",1,0,0,0
"Пришла не та икона. Заказывали святую Татьяну, в итоге получили Маргариту",1,0,0,0
Неприятный запах держался несколько дней.  Горячего не боится.  Я брала на скатерть.,1,0,0,0
"Товар пришёл без колпачка, но пользуюсь уже 2 недели и качество мне нравится!",1,0,0,0
"Первые впечатления были двоякие. Красивый цвет, запаха нет от пряжи, но толщина нити явно меньше заявленной. Ализе взяла впервые, сравниваю с Пехоркой. Вязала шапку с отворотом и снуд в 2 нити, варежки в одну (комплект на ребенка 3года) и еще полтора мотка пряжи осталось. Вязать очень легко и приятно. И еще по моим ощущениям что щерсти тоже меньше, чем указано, похоже как на 30шерсти и 70 акрила. Ну так как шапка в 2 нити и отворот, думаю зимой будет нормально.",1,0,0,0
"Полное несоответствие цвета, представленного на фото. Магазин вводит в заблуждение покупателя, так как под  фото есть описание по номеру артикула 2917 ""бирюзовый"". В действительности неяркий грязно-голубой оттенок. 
Только за это ставлю 1 звезду.
Огромная просьба  к магазину - выкладывать на сайте реальные фото товара!",1,0,0,0
Вчера решила смотать два моточка в один! Оказалось что в одном лотке длина нити больше чем в другом!  На фото остаток нити.,1,0,0,0
очень маломерка качество нормальное но рисунок напоминает робу особого режима,1,0,0,0
"Я фанат этой пряжи! Она шикарна! Мягонькая,невесомая и пушистая!",1,0,0,0
"Цвет абсолютно не соответствует фотографии,на самом деле тусклый, невзрачный,весьма отдаленно напоминающий сливу. Планировала связать дочери комплект, шарф и манишку,но она отказалась,хотя специально выбирали самую неколючую .Пряжа тонкая,для шапки надо соединять в 4-5-6 нитей. ,Забрала,свяжу себе кофточку,есть с чем скомбинировать. Жаль,что так получилось, больше не буду заказывать пряжу по интернету.",1,0,0,0
"К сожалению нет возможности оценить товар, поскольку прислали пряжу другого цвета.
Досадно, я расстроилась",1,0,0,0
"Твари, этот моток розовый всем суют, деньгами пользуются..., другими лова и это и не назовёшь",1,0,0,0
Цена на других сайтах 425- 450 рублей!!!,1,0,0,0
"Товар пришел без упаковки и колпачка. За это снимаю балл.

Само масло отличное. После долгого сидения за рабочим столом можно смазать затекшие плечи, плечи моментально расслабляются. Если болит голова - немного масла на виски и всё проходит. При синдроме беспокойных ног смазываю стопы на ночь. 

Распылителем удобно пользоваться. Можно прыснуть на руки, можно сразу на тело. Неприятного запаха нет.

Осторожно - в силу состава масло может оставить на темной одежде следы.",1,0,0,0
Очень тонкая.,1,0,0,0
"Мягкая приятная пряжа, невозможно выпустить из рук вязание. Связала то ли пледик, то ли шарфик👍😀размер изделия из четырех мотков 65*120, в ряду 50 петель. Петля 2 см высотой, узор крестом не свяжете, нужна пряжа с петлями 4 см.",1,0,0,0
"Отличная рама. Все пришло в нужном размере и в полной комплектации. Несколько лет пользуюсь станком Иволга от Арабеска к нему брала рамы различного размера и не по одной штуке. Ни разу у меня ни к одной раме не возникло нареканий по качеству. Рамы меня полностью устраивают. Для своей стоимости отличные рамы! Рада, что Арабеска появилась на WB! Ранее приходилось покупать дороже и с доставкой. На раму 40х56 комфортно помещается стандартный отрез основы 50Х70 (см фото) и стандартный отрез Dimensions Gold. На высоту 40 руку тянуть конечно не удобно, но я вышивая верхнюю часть работы опускаю планочку ниже на пару делений, а потом поднимаю на верх и остается большое пространство для бумажной схемы или планшета, для магнитика с иглами и просто приятно рассматривать уже отшитый участок работы. Для хорошей ""барабанной"" натяжки основы раму надо подбирать чуть большего размера. Поэтому данный размер рамы обязательно необходим вышивальщице, которая вышивает не только маленькие работы.",1,0,0,0
